import time: self [us] | cumulative | imported package
import time:       177 |        177 |                     jedi.plugins.pytest
import time:       384 |        384 |                     jedi.plugins.django
import time:       222 |       1664 |                   jedi.plugins.registry
import time:       256 |      58745 |                 jedi
import time:      4214 |      66189 |               IPython.core.completer
import time:       425 |        425 |               IPython.terminal.ptutils
import time:       542 |        542 |               IPython.terminal.shortcuts
import time:       354 |        354 |               concurrent.futures.thread
import time:       588 |      68096 |             IPython.terminal.debugger
import time:       192 |        192 |               IPython.lib.clipboard
import time:       364 |        556 |             IPython.terminal.magics
import time:       145 |        145 |             IPython.terminal.pt_inputhooks
import time:       319 |        319 |             IPython.terminal.prompts
import time:      2260 |     127129 |           IPython.terminal.interactiveshell
import time:       408 |        408 |               IPython.core.magics.auto
import time:      3461 |       3461 |               IPython.core.magics.basic
import time:       302 |        302 |                   email
import time:       914 |        914 |                     http
import time:     88462 |      88462 |                         email.errors
import time:       558 |        558 |                             email.quoprimime
import time:       257 |        257 |                             email.base64mime
import time:       405 |        405 |                                 quopri
import time:       228 |        633 |                               email.encoders
import time:       458 |       1090 |                             email.charset
import time:      1972 |       3877 |                           email.header
import time:      1251 |       1251 |                               calendar
import time:       496 |       1747 |                             email._parseaddr
import time:      1302 |       3049 |                           email.utils
import time:      1490 |       8414 |                         email._policybase
import time:      1238 |      98113 |                       email.feedparser
import time:       380 |      98492 |                     email.parser
import time:       794 |        794 |                       uu
import time:       832 |        832 |                       email._encoded_words
import time:       300 |        300 |                       email.iterators
import time:      1593 |       3518 |                     email.message
import time:      1886 |     104808 |                   http.client
import time:       375 |        375 |                     urllib.response
import time:       476 |        851 |                   urllib.error
import time:      5109 |     111069 |                 urllib.request
import time:       276 |        276 |                 IPython.utils.contexts
import time:      1564 |     112908 |               IPython.core.magics.code
import time:       571 |        571 |               IPython.core.magics.config
import time:      1306 |       1306 |               IPython.core.magics.display
import time:       507 |        507 |                   _lsprof
import time:       464 |        464 |                   profile
import time:       339 |       1309 |                 cProfile
import time:      2844 |       2844 |                 pstats
import time:       331 |        331 |                 timeit
import time:       133 |        133 |                 IPython.utils.module_paths
import time:       135 |        135 |                 IPython.utils.timing
import time:      2521 |       7271 |               IPython.core.magics.execution
import time:       456 |        456 |               IPython.core.magics.extension
import time:      2140 |       2140 |               IPython.core.magics.history
import time:       332 |        332 |               IPython.core.magics.logging
import time:       514 |        514 |               IPython.core.magics.namespace
import time:       968 |        968 |               IPython.core.magics.osm
import time:       273 |        273 |               IPython.core.magics.packaging
import time:       461 |        461 |                 IPython.core.pylabtools
import time:      1376 |       1836 |               IPython.core.magics.pylab
import time:      1316 |       1316 |               IPython.core.magics.script
import time:       567 |     134320 |             IPython.core.magics
import time:       696 |        696 |             IPython.core.shellapp
import time:       179 |        179 |               IPython.extensions
import time:       263 |        442 |             IPython.extensions.storemagic
import time:      1258 |     136715 |           IPython.terminal.ipapp
import time:      1413 |     326103 |         IPython.terminal.embed
import time:       170 |        170 |         IPython.utils.frame
import time:       289 |     421367 |       IPython
import time:       160 |        160 |       ipywidgets._version
import time:       331 |        331 |               ipykernel._version
import time:       271 |        271 |                   jupyter_client._version
import time:       144 |        144 |                             zmq.libzmq
import time:       178 |        178 |                               zmq.backend.select
import time:       675 |        675 |                                   zmq.error
import time:       537 |       1211 |                                 zmq.backend.cython.context
import time:       352 |        352 |                                   zmq.backend.cython.message
import time:       232 |        232 |                                   cPickle
import time:      2896 |       2896 |                                   zmq.constants
import time:       680 |       4159 |                                 zmq.backend.cython.socket
import time:      2889 |       8258 |                               zmq.backend.cython._device
import time:       443 |        443 |                               zmq.backend.cython._poll
import time:       187 |        187 |                               zmq.backend.cython._proxy_steerable
import time:       146 |        146 |                               zmq.backend.cython._version
import time:       150 |        150 |                               zmq.backend.cython.error
import time:       169 |        169 |                               zmq.backend.cython.utils
import time:       408 |       9935 |                             zmq.backend
import time:       260 |        260 |                                 zmq.sugar.attrsettr
import time:        91 |         91 |                                   zmq._typing
import time:        92 |         92 |                                   zmq.utils
import time:       184 |        184 |                                   zmq.utils.jsonapi
import time:       231 |        231 |                                   zmq.sugar.poll
import time:       923 |       1519 |                                 zmq.sugar.socket
import time:       514 |       2292 |                               zmq.sugar.context
import time:       152 |        152 |                               zmq.sugar.frame
import time:       217 |        217 |                               zmq.sugar.tracker
import time:       498 |        498 |                               zmq.sugar.version
import time:       102 |        102 |                               zmq.sugar.stopwatch
import time:       269 |       3529 |                             zmq.sugar
import time:       985 |      14591 |                           zmq
import time:       852 |        852 |                           zmq._future
import time:       440 |      15883 |                         zmq.asyncio
import time:       251 |        251 |                         jupyter_client.channelsabc
import time:       216 |        216 |                           hmac
import time:        89 |         89 |                           traitlets.log
import time:       144 |        144 |                                 tornado
import time:       518 |        518 |                                           tornado.speedups
import time:      1490 |       2007 |                                         tornado.util
import time:      4015 |       6022 |                                       tornado.escape
import time:      1860 |       1860 |                                         _curses
import time:       381 |       2241 |                                       curses
import time:       452 |       8714 |                                     tornado.log
import time:       578 |       9292 |                                   tornado.concurrent
import time:       726 |      10017 |                                 tornado.ioloop
import time:       162 |        162 |                                   tornado.platform
import time:       877 |        877 |                                   tornado.gen
import time:       794 |       1833 |                                 tornado.platform.asyncio
import time:       237 |      12230 |                               zmq.eventloop.ioloop
import time:       102 |      12331 |                             zmq.eventloop
import time:        15 |      12345 |                           zmq.eventloop.ioloop
import time:       332 |        332 |                             tornado.stack_context
import time:       634 |        965 |                           zmq.eventloop.zmqstream
import time:      1129 |       1129 |                           jupyter_client.adapter
import time:       162 |        162 |                                 dateutil._version
import time:       203 |        364 |                               dateutil
import time:       117 |        117 |                                 dateutil._common
import time:       270 |        270 |                                   dateutil.tz._common
import time:       169 |        169 |                                   dateutil.tz._factories
import time:        49 |         49 |                                     six.moves.winreg
import time:       302 |        350 |                                   dateutil.tz.win
import time:      1165 |       1953 |                                 dateutil.tz.tz
import time:      1810 |       3879 |                               dateutil.parser._parser
import time:       299 |        299 |                               dateutil.parser.isoparser
import time:       227 |       4768 |                             dateutil.parser
import time:       822 |        822 |                             _strptime
import time:       670 |       6258 |                           jupyter_client.jsonutil
import time:      1812 |      22812 |                         jupyter_client.session
import time:       560 |      39504 |                       jupyter_client.channels
import time:       235 |        235 |                         getpass
import time:       164 |        164 |                         jupyter_client.clientabc
import time:       165 |        165 |                               jupyter_core.version
import time:       161 |        325 |                             jupyter_core
import time:       191 |        191 |                               platformdirs.api
import time:        70 |         70 |                               platformdirs.version
import time:      1556 |       1556 |                                 configparser
import time:       171 |       1727 |                               platformdirs.unix
import time:       502 |       2489 |                             platformdirs
import time:       266 |        266 |                             jupyter_core.utils
import time:       702 |       3780 |                           jupyter_core.paths
import time:       384 |        384 |                           jupyter_client.localinterfaces
import time:       109 |        109 |                           jupyter_client.utils
import time:       955 |       5227 |                         jupyter_client.connect
import time:       685 |       6309 |                       jupyter_client.client
import time:       516 |      46328 |                     jupyter_client.asynchronous.client
import time:       125 |      46452 |                   jupyter_client.asynchronous
import time:       342 |        342 |                     jupyter_client.blocking.client
import time:       124 |        466 |                   jupyter_client.blocking
import time:       147 |        147 |                   jupyter_client.launcher
import time:       113 |        113 |                     jupyter_client.managerabc
import time:       632 |        632 |                         entrypoints
import time:       387 |        387 |                         jupyter_client.provisioning.provisioner_base
import time:       370 |       1387 |                       jupyter_client.provisioning.factory
import time:       461 |        461 |                       jupyter_client.provisioning.local_provisioner
import time:       117 |       1964 |                     jupyter_client.provisioning
import time:       813 |        813 |                     jupyter_client.kernelspec
import time:      1260 |       4149 |                   jupyter_client.manager
import time:       719 |        719 |                   jupyter_client.multikernelmanager
import time:       280 |      52482 |                 jupyter_client
import time:       195 |      52676 |               ipykernel.connect
import time:       288 |      53293 |             ipykernel
import time:       417 |        417 |               ipykernel.jsonutil
import time:       114 |        114 |                   pwd
import time:      5873 |       5873 |                   psutil._common
import time:       410 |        410 |                   psutil._compat
import time:       602 |        602 |                     psutil._psposix
import time:       688 |        688 |                     psutil._psutil_linux
import time:       231 |        231 |                     psutil._psutil_posix
import time:      3948 |       5468 |                   psutil._pslinux
import time:      1561 |      13424 |                 psutil
import time:       352 |        352 |                   tornado.locks
import time:       422 |        774 |                 tornado.queues
import time:      1595 |      15791 |               ipykernel.kernelbase
import time:       404 |      16611 |             ipykernel.comm.comm
import time:       381 |        381 |             ipykernel.comm.manager
import time:       188 |      70472 |           ipykernel.comm
import time:       166 |        166 |               ipython_genutils._version
import time:       195 |        360 |             ipython_genutils
import time:       105 |        105 |             ipython_genutils.encoding
import time:     10208 |      10672 |           ipython_genutils.py3compat
import time:      1608 |      82752 |         ipywidgets.widgets.widget
import time:       129 |        129 |             ipywidgets.widgets.util
import time:      3250 |       3379 |           ipywidgets.widgets.trait_types
import time:       841 |        841 |           ipywidgets.widgets.widget_layout
import time:       292 |        292 |           ipywidgets.widgets.widget_style
import time:       612 |       5122 |         ipywidgets.widgets.domwidget
import time:       251 |        251 |         ipywidgets.widgets.valuewidget
import time:       237 |        237 |         ipywidgets.widgets.widget_core
import time:       518 |        518 |           ipywidgets.widgets.widget_description
import time:       977 |       1495 |         ipywidgets.widgets.widget_bool
import time:       572 |        572 |         ipywidgets.widgets.widget_button
import time:        90 |         90 |           ipywidgets.widgets.docutils
import time:       903 |        993 |         ipywidgets.widgets.widget_box
import time:      2514 |       2514 |           ipywidgets.widgets.widget_int
import time:      1934 |       4448 |         ipywidgets.widgets.widget_float
import time:       324 |        324 |         ipywidgets.widgets.widget_color
import time:       278 |        278 |         ipywidgets.widgets.widget_date
import time:       497 |        497 |         ipywidgets.widgets.widget_output
import time:      2345 |       2345 |         ipywidgets.widgets.widget_selection
import time:       685 |        685 |         ipywidgets.widgets.widget_selectioncontainer
import time:      1953 |       1953 |         ipywidgets.widgets.widget_string
import time:      1030 |       1030 |         ipywidgets.widgets.widget_controller
import time:       810 |        810 |         ipywidgets.widgets.interaction
import time:       564 |        564 |         ipywidgets.widgets.widget_link
import time:      1051 |       1051 |         ipywidgets.widgets.widget_media
import time:      1125 |       1125 |         ipywidgets.widgets.widget_templates
import time:       709 |        709 |         ipywidgets.widgets.widget_upload
import time:       680 |     107911 |       ipywidgets.widgets
import time:       372 |     529807 |     ipywidgets
import time:       243 |        243 |       ipytree._version
import time:       610 |        610 |       ipytree.tree
import time:       371 |       1223 |     ipytree
import time:       141 |        141 |         traits.version
import time:       157 |        298 |       traits
import time:        98 |         98 |               traits.etsconfig
import time:       292 |        292 |               traits.etsconfig.etsconfig
import time:       167 |        556 |             traits.etsconfig.api
import time:       401 |        956 |           traits.trait_base
import time:       170 |        170 |           traits.trait_errors
import time:       681 |       1806 |         traits.ctraits
import time:      1239 |       3045 |       traits.constants
import time:       214 |        214 |       traits.trait_converters
import time:       574 |        574 |       traits.trait_notifiers
import time:       115 |        115 |           traits.observation
import time:       246 |        360 |         traits.observation.i_observable
import time:       386 |        386 |         traits.trait_dict_object
import time:       487 |        487 |         traits.trait_list_object
import time:       252 |        252 |         traits.trait_set_object
import time:       410 |       1894 |       traits.ctrait
import time:       134 |        134 |       traits.trait_factory
import time:       165 |        165 |           traits.base_trait_handler
import time:       107 |        271 |         traits.trait_handler
import time:       334 |        334 |         traits.trait_type
import time:       312 |        312 |         traits.trait_handlers
import time:       268 |       1184 |       traits.traits
import time:       374 |        374 |         traits.editor_factories
import time:       123 |        123 |               numpy._utils._convertions
import time:       146 |        269 |             numpy._utils
import time:       478 |        746 |           numpy._globals
import time:       140 |        140 |           numpy._expired_attrs_2_0
import time:        83 |         83 |           numpy.version
import time:        70 |         70 |             numpy._distributor_init_local
import time:       103 |        172 |           numpy._distributor_init
import time:       140 |        140 |                     numpy._utils._inspect
import time:      1231 |       1231 |                       numpy.exceptions
import time:       787 |        787 |                       numpy._core._exceptions
import time:       347 |        347 |                       numpy._core.printoptions
import time:       524 |        524 |                       numpy.dtypes
import time:     14444 |      17331 |                     numpy._core._multiarray_umath
import time:      1096 |      18566 |                   numpy._core.overrides
import time:      1286 |      19851 |                 numpy._core.multiarray
import time:       381 |        381 |                 numpy._core.umath
import time:       319 |        319 |                   numpy._core._string_helpers
import time:       497 |        497 |                   numpy._core._type_aliases
import time:       339 |        339 |                   numpy._core._dtype
import time:      1214 |       2368 |                 numpy._core.numerictypes
import time:       337 |        337 |                       numpy._core._methods
import time:      2401 |       2738 |                     numpy._core.fromnumeric
import time:       770 |       3507 |                   numpy._core.shape_base
import time:       291 |        291 |                   numpy._core._ufunc_config
import time:      1113 |       1113 |                   numpy._core.arrayprint
import time:       227 |        227 |                   numpy._core._asarray
import time:      2289 |       7426 |                 numpy._core.numeric
import time:       594 |        594 |                 numpy._core.records
import time:       311 |        311 |                 numpy._core.memmap
import time:       358 |        358 |                 numpy._core.function_base
import time:       256 |        256 |                 numpy._core._machar
import time:       395 |        395 |                 numpy._core.getlimits
import time:       500 |        500 |                 numpy._core.einsumfunc
import time:      1855 |       1855 |                 numpy._core._add_newdocs
import time:       611 |        611 |                 numpy._core._add_newdocs_scalars
import time:       178 |        178 |                 numpy._core._dtype_ctypes
import time:      1396 |       1396 |                 numpy._core._internal
import time:       220 |        220 |                 numpy._pytesttester
import time:      2222 |      38915 |               numpy._core
import time:        97 |      39011 |             numpy._core._multiarray_umath
import time:       603 |      39614 |           numpy.__config__
import time:       149 |        149 |               numpy.lib._array_utils_impl
import time:       405 |        553 |             numpy.lib.array_utils
import time:       150 |        150 |             numpy.lib.introspect
import time:       268 |        268 |             numpy.lib.mixins
import time:       433 |        433 |                   numpy.lib._utils_impl
import time:       772 |       1205 |                 numpy.lib.format
import time:       430 |        430 |                 numpy.lib._datasource
import time:       534 |        534 |                 numpy.lib._iotools
import time:      1364 |       3533 |               numpy.lib._npyio_impl
import time:       164 |       3696 |             numpy.lib.npyio
import time:       281 |        281 |                   numpy.lib._ufunclike_impl
import time:       570 |        850 |                 numpy.lib._type_check_impl
import time:       554 |       1404 |               numpy.lib._scimath_impl
import time:       201 |       1604 |             numpy.lib.scimath
import time:       821 |        821 |               numpy.lib._stride_tricks_impl
import time:       253 |       1074 |             numpy.lib.stride_tricks
import time:       218 |        218 |                     numpy.linalg.linalg
import time:      1098 |       1098 |                       numpy.lib._twodim_base_impl
import time:       811 |        811 |                       numpy.linalg._umath_linalg
import time:       542 |        542 |                         numpy._typing._nested_sequence
import time:       438 |        438 |                         numpy._typing._nbit_base
import time:       145 |        145 |                         numpy._typing._nbit
import time:      2169 |       2169 |                         numpy._typing._char_codes
import time:       203 |        203 |                         numpy._typing._scalars
import time:       227 |        227 |                         numpy._typing._shape
import time:      3659 |       3659 |                         numpy._typing._dtype_like
import time:      2435 |       2435 |                         numpy._typing._array_like
import time:       185 |        185 |                         numpy._typing._ufunc
import time:      2017 |      12016 |                       numpy._typing
import time:      3204 |      17127 |                     numpy.linalg._linalg
import time:       655 |      17999 |                   numpy.linalg
import time:       835 |      18833 |                 numpy.matrixlib.defmatrix
import time:       390 |      19222 |               numpy.matrixlib
import time:       670 |        670 |                 numpy.lib._histograms_impl
import time:      3288 |       3957 |               numpy.lib._function_base_impl
import time:      1141 |      24319 |             numpy.lib._index_tricks_impl
import time:       785 |        785 |             numpy.lib._nanfunctions_impl
import time:       691 |        691 |             numpy.lib._shape_base_impl
import time:      1296 |       1296 |             numpy.lib._arraysetops_impl
import time:      1521 |       1521 |             numpy.lib._polynomial_impl
import time:       246 |        246 |             numpy.lib._arrayterator_impl
import time:       361 |        361 |             numpy.lib._arraypad_impl
import time:       248 |        248 |             numpy.lib._version
import time:      2052 |      38858 |           numpy.lib
import time:       259 |        259 |           numpy._array_api_info
import time:      4891 |      84759 |         numpy
import time:      8992 |      94124 |       traits.trait_types
import time:       167 |        167 |             traits.observation._dict_change_event
import time:       170 |        170 |             traits.observation._list_change_event
import time:       160 |        160 |             traits.observation._set_change_event
import time:       159 |        159 |             traits.observation._trait_change_event
import time:       678 |       1332 |           traits.observation.events
import time:       294 |        294 |           traits.observation.exception_handling
import time:       157 |        157 |           traits.observation.exceptions
import time:       119 |        119 |             traits.observation._anytrait_filter
import time:       192 |        192 |               traits.observation._i_observer
import time:       191 |        191 |               traits.observation._observe
import time:       185 |        185 |               traits.observation._observer_change_notifier
import time:       177 |        177 |               traits.observation._trait_event_notifier
import time:       721 |       1463 |             traits.observation._dict_item_observer
import time:       185 |        185 |               traits.observation._has_traits_helpers
import time:       172 |        172 |               traits.observation._observer_graph
import time:       324 |        324 |               traits.observation._trait_added_observer
import time:       651 |       1331 |             traits.observation._filtered_trait_observer
import time:       197 |        197 |             traits.observation._list_item_observer
import time:       155 |        155 |             traits.observation._metadata_filter
import time:       206 |        206 |             traits.observation._named_trait_observer
import time:       193 |        193 |             traits.observation._set_item_observer
import time:      1236 |       4896 |           traits.observation.expression
import time:       167 |        167 |           traits.observation.observe
import time:       462 |        462 |               regex
import time:      7520 |       7981 |             traits.observation._generated_parser
import time:      2106 |      10087 |           traits.observation.parsing
import time:       960 |      17890 |         traits.observation.api
import time:      3337 |      21227 |       traits.has_traits
import time:       370 |        370 |         traits.adaptation
import time:       447 |        816 |       traits.adaptation.adapter
import time:       161 |        161 |       traits.adaptation.adaptation_error
import time:       759 |        759 |       traits.adaptation.adaptation_manager
import time:       378 |        378 |       traits.trait_numeric
import time:       763 |     125565 |     traits.api
import time:       233 |        233 |           packaging
import time:       177 |        177 |           packaging._structures
import time:      3556 |       3966 |         packaging.version
import time:       423 |        423 |           matplotlib._api.deprecation
import time:       634 |       1056 |         matplotlib._api
import time:       131 |        131 |         matplotlib._version
import time:       596 |        596 |           gzip
import time:      1184 |       1184 |           matplotlib._c_internal_utils
import time:      1536 |       3315 |         matplotlib.cbook
import time:       285 |        285 |         matplotlib._docstring
import time:       965 |        965 |             matplotlib.backends.registry
import time:       222 |       1187 |           matplotlib.backends
import time:       305 |        305 |               PIL._version
import time:       549 |        854 |             PIL
import time:      5694 |       5694 |               PIL.ExifTags
import time:       179 |        179 |                 PIL._deprecate
import time:       871 |       1049 |               PIL.ImageMode
import time:       873 |        873 |               PIL.TiffTags
import time:       149 |        149 |               PIL._binary
import time:       556 |        556 |                 PIL._typing
import time:       145 |        700 |               PIL._util
import time:       169 |        169 |                     xml.parsers
import time:       919 |        919 |                     pyexpat
import time:       187 |       1274 |                   xml.parsers.expat
import time:       380 |       1654 |                 defusedxml.common
import time:       298 |       1951 |               defusedxml
import time:       104 |        104 |                   xml.etree
import time:       924 |        924 |                   xml.etree.ElementPath
import time:       534 |        534 |                   _elementtree
import time:      1354 |       2914 |                 xml.etree.ElementTree
import time:        17 |         17 |                 _elementtree
import time:      1265 |       4195 |               defusedxml.ElementTree
import time:      1895 |       1895 |               PIL._imaging
import time:      7966 |      24467 |             PIL.Image
import time:       203 |        203 |               PIL.ImageChops
import time:      1646 |       1646 |               PIL.ImageFile
import time:       242 |        242 |                 PIL.GimpGradientFile
import time:       148 |        148 |                 PIL.GimpPaletteFile
import time:       430 |        430 |                 PIL.ImageColor
import time:       124 |        124 |                 PIL.PaletteFile
import time:       452 |       1394 |               PIL.ImagePalette
import time:       139 |        139 |               PIL.ImageSequence
import time:      1905 |       5286 |             PIL.PngImagePlugin
import time:       858 |        858 |             matplotlib._cm
import time:      1701 |       1701 |                   matplotlib._path
import time:       801 |        801 |                     matplotlib.bezier
import time:      1242 |       2042 |                   matplotlib.path
import time:      4575 |       8317 |                 matplotlib.transforms
import time:      1966 |      10282 |               matplotlib.ticker
import time:       891 |      11172 |             matplotlib.scale
import time:      1196 |       1196 |             matplotlib._image
import time:      1126 |       1126 |             matplotlib._color_data
import time:      3303 |      48258 |           matplotlib.colors
import time:       641 |        641 |               pyparsing.util
import time:       552 |        552 |                 pyparsing.unicode
import time:      2136 |       2687 |               pyparsing.exceptions
import time:       505 |        505 |                 pyparsing.results
import time:       501 |       1006 |               pyparsing.actions
import time:     14370 |      14370 |               pyparsing.core
import time:      3964 |       3964 |               pyparsing.helpers
import time:       485 |        485 |               pyparsing.testing
import time:      4011 |       4011 |               pyparsing.common
import time:      1060 |      28220 |             pyparsing
import time:       759 |      28978 |           matplotlib._fontconfig_pattern
import time:       756 |        756 |           matplotlib._enums
import time:       862 |        862 |           cycler
import time:      1722 |      81760 |         matplotlib.rcsetup
import time:      2274 |       2274 |         matplotlib.ft2font
import time:       175 |        175 |           kiwisolver.exceptions
import time:       751 |        926 |         kiwisolver._cext
import time:      5698 |       5698 |           numpy.ma.core
import time:      1589 |       1589 |           numpy.ma.extras
import time:       562 |       7848 |         numpy.ma
import time:      3066 |       3066 |             matplotlib.artist
import time:      1483 |       4548 |           matplotlib.colorizer
import time:      2363 |       2363 |           matplotlib._cm_listed
import time:      2391 |       2391 |           matplotlib._cm_multivar
import time:      1184 |       1184 |           matplotlib._cm_bivar
import time:      4860 |      15345 |         matplotlib.cm
import time:     11219 |     128120 |       matplotlib
import time:       458 |        458 |           matplotlib.hatch
import time:       936 |        936 |             matplotlib.markers
import time:      6945 |       7880 |           matplotlib.lines
import time:     22970 |      31307 |         matplotlib.collections
import time:       370 |        370 |               matplotlib._pylab_helpers
import time:      1561 |       1930 |             matplotlib.backend_tools
import time:      1439 |       1439 |                 plistlib
import time:      1208 |       1208 |                   matplotlib._mathtext_data
import time:       761 |       1968 |                 matplotlib._afm
import time:      8198 |      11604 |               matplotlib.font_manager
import time:    186729 |     186729 |               matplotlib.patches
import time:      2609 |       2609 |                 matplotlib._text_helpers
import time:      3021 |       3021 |                 matplotlib.dviread
import time:      4804 |       4804 |                   matplotlib._mathtext
import time:       703 |       5507 |                 matplotlib.mathtext
import time:       849 |        849 |                 matplotlib.texmanager
import time:      2168 |      14151 |               matplotlib.textpath
import time:      7560 |     220042 |             matplotlib.text
import time:       443 |        443 |             matplotlib._tight_bbox
import time:      2067 |       2067 |             matplotlib.widgets
import time:       375 |        375 |             matplotlib.backend_managers
import time:       551 |        551 |                 matplotlib._layoutgrid
import time:       470 |       1020 |               matplotlib._constrained_layout
import time:       221 |        221 |               matplotlib._tight_layout
import time:       247 |       1487 |             matplotlib.layout_engine
import time:      4287 |     230628 |           matplotlib.backend_bases
import time:      4820 |     235448 |         matplotlib.contour
import time:      2566 |       2566 |         matplotlib.spines
import time:      2597 |     271916 |       matplotlib.colorbar
import time:      6842 |       6842 |       matplotlib.image
import time:       768 |        768 |               importlib.abc
import time:       240 |        240 |               importlib._adapters
import time:       406 |       1414 |             importlib._common
import time:       347 |       1760 |           importlib.resources
import time:     11745 |      13505 |         matplotlib.style.core
import time:       691 |      14195 |       matplotlib.style
import time:       445 |        445 |         matplotlib._blocking_input
import time:      9612 |       9612 |               matplotlib.offsetbox
import time:       313 |        313 |                 matplotlib.units
import time:      7226 |       7538 |               matplotlib.axis
import time:       900 |        900 |               matplotlib.gridspec
import time:      3144 |       3144 |               matplotlib.table
import time:      8102 |      29294 |             matplotlib.axes._base
import time:       833 |        833 |               matplotlib.category
import time:      1288 |       1288 |                 dateutil.rrule
import time:      1155 |       2442 |               matplotlib.dates
import time:      1289 |       1289 |               matplotlib.inset
import time:       208 |        208 |                 matplotlib.container
import time:       485 |        485 |                 matplotlib.legend_handler
import time:      2606 |       3298 |               matplotlib.legend
import time:       446 |        446 |               matplotlib.mlab
import time:      4104 |       4104 |               matplotlib.quiver
import time:       230 |        230 |               matplotlib.stackplot
import time:       422 |        422 |               matplotlib.streamplot
import time:       306 |        306 |                 matplotlib.tri._triangulation
import time:      3693 |       3693 |                 matplotlib.tri._tricontour
import time:       288 |        288 |                 matplotlib.tri._trifinder
import time:       164 |        164 |                   matplotlib.tri._tritools
import time:      1274 |       1437 |                 matplotlib.tri._triinterpolate
import time:      1266 |       1266 |                 matplotlib.tri._tripcolor
import time:       160 |        160 |                 matplotlib.tri._triplot
import time:       205 |        205 |                 matplotlib.tri._trirefine
import time:       229 |       7582 |               matplotlib.tri
import time:      2916 |       2916 |               matplotlib.axes._secondary_axes
import time:     17610 |      41168 |             matplotlib.axes._axes
import time:       539 |      71000 |           matplotlib.axes
import time:     10332 |      10332 |           matplotlib.projections.geo
import time:      7414 |       7414 |           matplotlib.projections.polar
import time:       549 |        549 |             mpl_toolkits
import time:       210 |        210 |                 mpl_toolkits.mplot3d.proj3d
import time:     10233 |      10443 |               mpl_toolkits.mplot3d.art3d
import time:      4438 |       4438 |               mpl_toolkits.mplot3d.axis3d
import time:      8752 |      23632 |             mpl_toolkits.mplot3d.axes3d
import time:       434 |      24614 |           mpl_toolkits.mplot3d
import time:       647 |     114006 |         matplotlib.projections
import time:      7946 |     122396 |       matplotlib.figure
import time:      9081 |     552548 |     matplotlib.pyplot
import time:       385 |        385 |         bmcs_utils.i_model
import time:       919 |       1303 |       bmcs_utils.controller
import time:      1107 |       2410 |     bmcs_utils.tree_node
import time:      6312 |    1217863 |   bmcs_utils.app_window
import time:       225 |        225 |       bmcs_utils.item
import time:       418 |        418 |             bmcs_utils.editors.editor_factory
import time:      1509 |       1926 |           bmcs_utils.editors.editors
import time:       452 |        452 |           bmcs_utils.editors.progress_editor
import time:       503 |        503 |           bmcs_utils.editors.history_editor
import time:       244 |        244 |           bmcs_utils.editors.either_type_editor
import time:       157 |        157 |           bmcs_utils.editors.enum_type_editor
import time:       167 |        167 |           bmcs_utils.editors.instance_editor
import time:       248 |        248 |           bmcs_utils.editors.list_editor
import time:       223 |        223 |           bmcs_utils.editors.dict_editor
import time:       231 |       4149 |         bmcs_utils.editors
import time:        17 |       4165 |       bmcs_utils.editors.editors
import time:       480 |       4869 |     bmcs_utils.view
import time:      2537 |       2537 |     bmcs_utils.model_notify_mixin
import time:       327 |        327 |     bmcs_utils.model_tree_node_mixin
import time:       773 |       8505 |   bmcs_utils.model
import time:       384 |        384 |         bmcs_utils.trait_types.trait_types
import time:       136 |        136 |         bmcs_utils.trait_types.either_type2
import time:        85 |         85 |         bmcs_utils.trait_types.enum_type
import time:        93 |         93 |         bmcs_utils.trait_types.instance_type
import time:        88 |         88 |         bmcs_utils.trait_types.weakref_type
import time:        74 |         74 |         bmcs_utils.trait_types.list_type
import time:        67 |         67 |         bmcs_utils.trait_types.dict_type
import time:        97 |         97 |         bmcs_utils.trait_types.selector_type
import time:       155 |       1175 |       bmcs_utils.trait_types
import time:        15 |       1189 |     bmcs_utils.trait_types.list_type
import time:       889 |       2078 |   bmcs_utils.model_list
import time:       405 |        405 |   bmcs_utils.model_dict
import time:       230 |        230 |   bmcs_utils.mpl_utils
import time:       255 |        255 |         mpmath.usertools
import time:      4614 |       4614 |                       gmpy2.gmpy2
import time:       327 |       4941 |                     gmpy2
import time:       354 |       5295 |                   mpmath.libmp.backend
import time:       679 |        679 |                   mpmath.libmp.libintmath
import time:      1769 |       7741 |                 mpmath.libmp.libmpf
import time:       660 |        660 |                   mpmath.libmp.libelefun
import time:       767 |       1427 |                 mpmath.libmp.libmpc
import time:       882 |        882 |                   mpmath.libmp.gammazeta
import time:       454 |       1335 |                 mpmath.libmp.libhyper
import time:       379 |        379 |                 mpmath.libmp.libmpi
import time:       689 |      11569 |               mpmath.libmp
import time:        23 |      11592 |             mpmath.libmp.backend
import time:       443 |        443 |                   cmath
import time:       588 |       1030 |                 mpmath.functions.functions
import time:       244 |        244 |                 mpmath.functions.factorials
import time:       659 |        659 |                 mpmath.functions.hypergeometric
import time:       235 |        235 |                 mpmath.functions.expintegrals
import time:       513 |        513 |                 mpmath.functions.bessel
import time:       215 |        215 |                 mpmath.functions.orthogonal
import time:       221 |        221 |                 mpmath.functions.theta
import time:       335 |        335 |                 mpmath.functions.elliptic
import time:       217 |        217 |                 mpmath.functions.signals
import time:       469 |        469 |                 mpmath.functions.zeta
import time:       407 |        407 |                 mpmath.functions.rszeta
import time:       364 |        364 |                 mpmath.functions.zetazeros
