import time: self [us] | cumulative | imported package
import time:        11 |       2878 |                   asttokens.util
import time:       402 |        402 |                             _datetime
import time:       789 |       1190 |                           datetime
import time:       398 |        398 |                               numbers
import time:       695 |       1092 |                             _decimal
import time:       131 |       1223 |                           decimal
import time:       867 |        867 |                           fractions
import time:       266 |       3543 |                         pure_eval.utils
import time:       255 |       3798 |                       pure_eval.my_getattr_static
import time:       531 |       4328 |                     pure_eval.core
import time:       105 |        105 |                     pure_eval.version
import time:       168 |       4601 |                   pure_eval
import time:       343 |        343 |                   stack_data.utils
import time:      1668 |      13289 |                 stack_data.core
import time:       296 |        296 |                 stack_data.formatting
import time:       259 |        259 |                 stack_data.serializing
import time:        65 |         65 |                 stack_data.version
import time:       372 |      14280 |               stack_data
import time:       153 |        153 |                   pygments
import time:       153 |        153 |                   pygments.formatters._mapping
import time:        74 |         74 |                   pygments.plugin
import time:      2733 |       2733 |                   pygments.util
import time:       310 |       3421 |                 pygments.formatters
import time:       116 |        116 |                   pygments.styles
import time:       126 |        241 |                 pygments.formatter
import time:        99 |         99 |                 pygments.console
import time:       312 |        312 |                   pygments.token
import time:       252 |        564 |                 pygments.style
import time:       256 |       4580 |               pygments.formatters.terminal256
import time:       103 |        103 |                 IPython.utils
import time:       272 |        272 |                     IPython.utils.ipstruct
import time:       190 |        461 |                   IPython.utils.coloransi
import time:       303 |        303 |                   IPython.utils.colorable
import time:       394 |       1158 |                 IPython.utils.PyColorize
import time:      1290 |       1290 |                     locale
import time:       128 |       1418 |                   IPython.utils.encoding
import time:       190 |       1607 |                 IPython.utils.py3compat
import time:       160 |        160 |                 IPython.core.excolors
import time:       282 |        282 |                   cmd
import time:       599 |        599 |                   bdb
import time:       177 |        177 |                     codeop
import time:       208 |        385 |                   code
import time:       361 |        361 |                   glob
import time:      1007 |       2632 |                 pdb
import time:       504 |       6161 |               IPython.core.debugger
import time:       321 |        321 |               IPython.core.display_trap
import time:       552 |        552 |                   _random
import time:       236 |        236 |                   _sha512
import time:       677 |       1464 |                 random
import time:       195 |        195 |                       pexpect.exceptions
import time:       154 |        154 |                       pexpect.utils
import time:       170 |        170 |                       pexpect.expect
import time:       468 |        468 |                             termios
import time:       408 |        875 |                           tty
import time:       169 |       1044 |                         pty
import time:       287 |        287 |                             resource
import time:       147 |        147 |                             ptyprocess.util
import time:       461 |        893 |                           ptyprocess.ptyprocess
import time:       164 |       1057 |                         ptyprocess
import time:       262 |        262 |                         pexpect.spawnbase
import time:       358 |       2719 |                       pexpect.pty_spawn
import time:       108 |        108 |                       pexpect.run
import time:       224 |       3566 |                     pexpect
import time:       277 |        277 |                       shlex
import time:       148 |        424 |                     IPython.utils._process_common
import time:       164 |       4153 |                   IPython.utils._process_posix
import time:       142 |       4295 |                 IPython.utils.process
import time:       420 |       6179 |               IPython.utils.path
import time:       186 |        186 |               IPython.utils.terminal
import time:      1790 |      42249 |             IPython.core.ultratb
import time:       104 |        104 |               IPython.utils._sysinfo
import time:       181 |        284 |             IPython.utils.sysinfo
import time:       218 |      42749 |           IPython.core.crashhandler
import time:       392 |        392 |               tempfile
import time:        84 |         84 |               IPython.utils.importstring
import time:       148 |        623 |             IPython.paths
import time:       426 |       1049 |           IPython.core.profiledir
import time:      1107 |      94401 |         IPython.core.application
import time:       112 |        112 |           IPython.terminal
import time:      1206 |       1206 |               _hashlib
import time:       193 |        193 |               _blake2
import time:       269 |       1667 |             hashlib
import time:       227 |       1894 |           IPython.core.compilerop
import time:       144 |        144 |             IPython.core.error
import time:        90 |         90 |               IPython.utils.docs
import time:       167 |        256 |             IPython.utils.decorators
import time:       606 |        606 |             IPython.utils.text
import time:       577 |       1581 |           IPython.core.magic_arguments
import time:       186 |        186 |             getopt
import time:       293 |        293 |                     binascii
import time:       172 |        465 |                   IPython.core.display_functions
import time:       242 |        242 |                       _winapi
import time:        97 |         97 |                       winreg
import time:       448 |        786 |                     mimetypes
import time:       112 |        112 |                       IPython.testing
import time:       106 |        218 |                     IPython.testing.skipdoctest
import time:       605 |       1607 |                   IPython.core.display
import time:        98 |         98 |                     IPython.lib
import time:       397 |        494 |                   IPython.lib.display
import time:       117 |       2682 |                 IPython.display
import time:        87 |         87 |                 IPython.utils.data
import time:       302 |       3070 |               IPython.core.page
import time:       704 |        704 |               IPython.lib.pretty
import time:       297 |        297 |               IPython.utils.openpy
import time:        88 |         88 |               IPython.utils.dir2
import time:       135 |        135 |               IPython.utils.wildcard
import time:      3351 |       3351 |                 pygments.lexers._mapping
import time:       390 |        390 |                 pygments.modeline
import time:       255 |       3996 |               pygments.lexers
import time:       136 |        136 |                   pygments.filter
import time:       506 |        506 |                   pygments.filters
import time:       205 |        205 |                   pygments.regexopt
import time:       769 |       1615 |                 pygments.lexer
import time:       294 |        294 |                 pygments.unistring
import time:      1104 |       3013 |               pygments.lexers.python
import time:       194 |        194 |                 ctags
import time:       725 |        919 |               pygments.formatters.html
import time:       702 |      12918 |             IPython.core.oinspect
import time:      1562 |       1562 |             IPython.core.inputtransformer2
import time:      1043 |      15708 |           IPython.core.magic
import time:       479 |        479 |             runpy
import time:       188 |        188 |               cPickle
import time:       350 |        538 |             pickleshare
import time:       149 |        149 |             IPython.core.hooks
import time:       168 |        168 |               IPython.core.autocall
import time:       352 |        352 |               IPython.core.macro
import time:       434 |        434 |               IPython.core.splitinput
import time:      1758 |       2710 |             IPython.core.prefilter
import time:       649 |        649 |             IPython.core.alias
import time:       357 |        357 |             IPython.core.builtin_trap
import time:       440 |        440 |             IPython.core.displayhook
import time:       286 |        286 |             IPython.core.displaypub
import time:       315 |        315 |                 backcall.backcall
import time:       210 |        524 |               backcall
import time:       468 |        992 |             IPython.core.events
import time:       473 |        473 |             IPython.core.extensions
import time:       873 |        873 |               decorator
import time:       138 |        138 |               IPython.utils.sentinel
import time:      2089 |       3099 |             IPython.core.formatters
import time:      1749 |       1749 |                   _sqlite3
import time:       500 |       2248 |                 sqlite3.dbapi2
import time:       168 |       2416 |               sqlite3
import time:      2075 |       4490 |             IPython.core.history
import time:       269 |        269 |             IPython.core.logger
import time:       203 |        203 |             IPython.core.payload
import time:       149 |        149 |             IPython.core.usage
import time:       188 |        188 |               IPython.utils.capture
import time:       293 |        481 |             IPython.utils.io
import time:       122 |        122 |             IPython.utils.strdispatch
import time:       105 |        105 |             IPython.utils.syspathcontext
import time:       259 |        259 |               docrepr
import time:        14 |        272 |             docrepr.sphinxify
import time:        99 |         99 |                     concurrent
import time:       526 |        526 |                     concurrent.futures._base
import time:       141 |        765 |                   concurrent.futures
import time:      5448 |       5448 |                     _ssl
import time:      1691 |       1691 |                     base64
import time:      4058 |      11196 |                   ssl
import time:       543 |        543 |                   asyncio.constants
import time:       157 |        157 |                       asyncio.format_helpers
import time:       211 |        368 |                     asyncio.base_futures
import time:       154 |        154 |                     asyncio.log
import time:       437 |        958 |                   asyncio.coroutines
import time:       239 |        239 |                       _contextvars
import time:       141 |        379 |                     contextvars
import time:       200 |        200 |                       asyncio.exceptions
import time:       128 |        128 |                       asyncio.base_tasks
import time:       446 |        774 |                     _asyncio
import time:       763 |       1915 |                   asyncio.events
import time:       254 |        254 |                   asyncio.futures
import time:       183 |        183 |                   asyncio.protocols
import time:       350 |        350 |                     asyncio.transports
import time:       365 |        715 |                   asyncio.sslproto
import time:        99 |         99 |                       asyncio.mixins
import time:       387 |        387 |                       asyncio.tasks
import time:       276 |        761 |                     asyncio.locks
import time:       489 |       1250 |                   asyncio.staggered
import time:       209 |        209 |                   asyncio.trsock
import time:      1208 |      19189 |                 asyncio.base_events
import time:       111 |        111 |                 asyncio.runners
import time:       230 |        230 |                 asyncio.queues
import time:       322 |        322 |                 asyncio.streams
import time:       192 |        192 |                 asyncio.subprocess
import time:        82 |         82 |                 asyncio.threads
import time:       198 |        198 |                   asyncio.base_subprocess
import time:       453 |        453 |                   asyncio.selector_events
import time:       805 |       1455 |                 asyncio.unix_events
import time:       252 |      21829 |               asyncio
import time:       193 |      22022 |             IPython.core.async_helpers
import time:      3282 |      41555 |           IPython.core.interactiveshell
import time:       723 |        723 |                       prompt_toolkit.application.current
import time:       231 |        231 |                             prompt_toolkit.eventloop.utils
import time:       289 |        520 |                           prompt_toolkit.eventloop.async_generator
import time:       366 |        366 |                           prompt_toolkit.eventloop.inputhook
import time:       132 |       1017 |                         prompt_toolkit.eventloop
import time:       226 |       1243 |                       prompt_toolkit.application.run_in_terminal
import time:       545 |        545 |                               prompt_toolkit.selection
import time:       334 |        878 |                             prompt_toolkit.clipboard.base
import time:       160 |        160 |                             prompt_toolkit.clipboard.in_memory
import time:       138 |       1175 |                           prompt_toolkit.clipboard
import time:       371 |        371 |                               prompt_toolkit.cache
import time:       188 |        188 |                               prompt_toolkit.enums
import time:       443 |        443 |                               prompt_toolkit.filters.base
import time:       416 |       1416 |                             prompt_toolkit.filters.app
import time:       151 |        151 |                             prompt_toolkit.filters.cli
import time:        99 |         99 |                             prompt_toolkit.filters.utils
import time:       169 |       1834 |                           prompt_toolkit.filters
import time:      1402 |       4410 |                         prompt_toolkit.document
import time:       314 |       4723 |                       prompt_toolkit.auto_suggest
import time:      3270 |       3270 |                                             prompt_toolkit.keys
